"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"TEXANA","Jackson","TX",1835,1885,,
"BLOSSOM PRAIRIE","Lamar","TX",1843,1888,,
"GRAND BLUFF","Panola","TX",1847,1887,32.2718251,-94.3432523
"WHITE OAK","Hopkins","TX",1847,1888,33.1467821,-95.457173
"BUENA VISTA","Shelby","TX",1848,1886,,
"DUCK CREEK","Dallas","TX",1848,1887,32.912624,-96.6388833
"CLINTON","Dewitt","TX",1849,1886,,
"INDIANOLA","Calhoun","TX",1849,1887,28.5119449,-96.487475
"MOON'S RANCH","TEHAMA","CA",1851,1887,,
"SAN JOAQUIN","San Joaquin","CA",1851,1888,37.7285397,-121.1774393
"WILLAMETTE FORKS","Lane","OR",1851,1884,44.1123468,-123.0581421
"FERNANDEZ DE TAOS","Taos","NM",1852,1885,36.4072485,-105.5730665
"FILLMORE CITY","Millard","UT",1852,1884,,
"HOWARD","Bell","TX",1852,1889,,
"AVANT","Freestone","TX",1853,1885,,
"EUGENE CITY","Lane","OR",1853,1889,44.0540136,-123.0936983
"MICCO","McIntosh","OK",1853,1886,,
"SPANISH FLAT","El Dorado","CA",1853,1888,38.8232348,-120.8093789
"MONTEZUMA","Tuolumne","CA",1854,1887,38.1738054,-119.6190601
"MOUNT SCOTT","Douglas","OR",1854,1886,43.3026177,-123.1622885
"OGDEN CITY","Weber","UT",1854,1888,41.223,-111.9738304
"PEKIN","Cowlitz","WA",1854,1886,,
"ANTIOCH","Lavaca","TX",1855,1888,,
"LITTLE YORK","Nevada","CA",1855,1886,39.195175,-120.8771629
"O'BYRNES FERRY","Calaveras","CA",1855,1887,37.8949264,-120.5710344
"PINE","Linn","OR",1855,1887,44.2098462,-123.1073117
"THREE GROVE","Cass","NE",1855,1884,40.8777784,-95.9016735
"WYANDOTTE","Wyandotte","KS",1855,1887,39.1147932,-94.6569964
"PIN OAK","Fayette","TX",1856,1888,,
"TODD'S VALLEY","Placer","CA",1856,1884,38.9979543,-120.8516017
"CHEESLAND","Angelina","TX",1857,1886,,
"ELKHORN CITY","Douglas","NE",1857,1884,41.3716643,-96.2677997
"RIO SECO","Butte","CA",1857,1888,39.5887743,-121.6785852
"SKOOKUMCHUCK","Lewis","WA",1857,1884,46.9053765,-122.7709632
"WESTBROOK","Blanco","TX",1857,1889,30.2685343,-98.5255832
"CLAIRVILLE","Sonoma","CA",1858,1887,38.707687,-122.9024964
"DAYTON","Bourbon","KS",1858,1887,37.9572585,-94.8605217
"GUSSETTVILLE","Live Oak","TX",1858,1886,28.3027797,-98.0350035
"MOUNT PLEASANT","Cass","NE",1858,1888,40.8502791,-95.9819532
"OAKLAND","Mason","WA",1858,1889,47.2303724,-123.0823732
"PUNTA ARENAS","Mendocino","CA",1858,1889,38.908798,-123.6930726
"SAN ANTONIO","Monterey","CA",1858,1887,35.9435149,-121.0830439
"ALBADE","Caldwell","TX",1859,1888,,
"FOREST CITY","Sarpy","NE",1859,1886,41.1408322,-96.2397418
"FORT CHADBOURNE","Runnels","TX",1859,1886,,
"KENNER","Matagorda","TX",1859,1887,,
"WATERVILLE","Wharton","TX",1859,1884,,
"AUBREY","Johnson","KS",1860,1888,38.7708421,-94.671068
"BOVINE","Lavaca","TX",1860,1889,,
"GLAD TIDINGS","Clackamas","OR",1860,1887,45.1045662,-122.6456442
"HICKSVILLE","Sacramento","CA",1860,1889,38.3271351,-121.3232827
"MILL CREEK","Bourbon","KS",1860,1889,37.92226,-94.8191316
"MOUNT VERNON","Jefferson","CO",1860,1885,39.6909588,-105.208986
"RICHLAND","Sacramento","CA",1860,1888,38.3682444,-121.5174543
"SPANISH BAR","Clear Creek","CO",1860,1885,,
"CENTRE VALLEY","Cass","NE",1861,1888,,
"EMPIRE CITY","Clear Creek","CO",1861,1886,39.7638763,-105.6822256
"SAN JUAN","San Juan","WA",1861,1886,,
"UNION","Cass","NE",1861,1887,40.8133348,-95.9227839
"FORT LYON","Bent","CO",1862,1889,38.0922288,-103.1521504
"GATESVILLE","Clay","KS",1862,1888,39.2833292,-97.0280707
"JAMES CROSSING","Jackson","KS",1862,1886,39.4486061,-95.9544361
"LOCUST GROVE","Atchison","KS",1862,1887,39.4263868,-95.1980252
"MISSION CREEK","Wabaunsee","KS",1862,1886,38.945835,-96.0688805
"NORMANVILLE","Doniphan","KS",1862,1887,39.681944,-95.3169199
"OZARK","Anderson","KS",1862,1885,38.0841964,-95.1535856
"SAN BUENAVENTURA","Ventura","CA",1862,1889,34.279724,-119.2903897
"BLUE MOUNDS","Linn","KS",1863,1886,38.0900303,-95.0063593
"FORT HALLECK","Carbon","WY",1863,1886,,
"HENDRICKS","Otoe","NE",1863,1888,40.5955557,-96.3875124
"LATROBE","Johnson","NE",1863,1884,40.5083329,-96.447515
"MONITOR","Alpine","CA",1863,1888,38.6651843,-119.6960075
"BRIGHTON","Sacramento","CA",1864,1886,38.5621284,-121.3363399
