"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"ABERDEEN","Inyo","CA",1896,1934,36.9779897,-118.2534321
"ACKERMAN","Placer","CA",1896,1899,38.9351758,-121.0560563
"ACME","Henderson","TX",1896,1896,,
"ADA","Blaine","MT",1896,1917,48.3938843,-109.4418536
"ADAMANA","Apache","AZ",1896,1969,34.9766921,-109.8223383
"ADEL","Cascade","MT",1896,1930,47.0277236,-111.6238645
"ADEL","Lake","OR",1896,,42.177388,-119.8985576
"ADKINS","Bexar","TX",1896,,29.371078,-98.2870307
"AGATHA","Nez Perce","ID",1896,1932,46.510728,-116.5768152
"AGENDA","Monterey","CA",1896,1907,,
"AHLERS","Clatsop","OR",1896,1899,45.9067768,-123.7848551
"ALBERTHA","Dickey","ND",1896,1905,,
"ALCOTT","Denver","CO",1896,1904,39.7678674,-105.0436307
"ALDINE","Harris","TX",1896,1935,29.933587,-95.3555958
"ALDRIDGE","Park","MT",1896,1910,45.0868789,-110.8216042
"ALFORD","Sabine","TX",1896,1896,31.5233333,-93.8125
"ALHAMBRA","Johnston","OK",1896,1904,,
"ALLENSPARK","Boulder","CO",1896,,40.1944294,-105.5255549
"ALMA","Juab","UT",1896,1896,,
"ALMOND","San Diego","CA",1896,1914,,
"ALPINE","Skagit","WA",1896,1898,,
"ANDERSON","Silver Bow","MT",1896,1897,46.02076,-112.500021
"ANGORA","Rio Blanco","CO",1896,1912,40.176638,-108.5756556
"ANIDEM","Linn","OR",1896,1902,44.6054009,-122.3928588
"ANN","Alameda","CA",1896,1896,,
"ANNIS","Jefferson","ID",1896,1906,43.7282443,-111.9360799
"ARCADIA","Malheur","OR",1896,1908,43.9243293,-116.9854365
"ARCOLA","Laramie","WY",1896,1941,41.1008151,-104.4571818
"ARMSTRONG","Bryan","OK",1896,1920,34.0514845,-96.3452685
"ARNDT","Towner","ND",1896,1906,48.6300037,-99.2354162
"ATTOYAC","Nacogdoches","TX",1896,1955,31.5587926,-94.3579805
"AULD","Real","TX",1896,1896,,
"AURICH","Gage","NE",1896,1898,,
"AUXIER","Washita","OK",1896,1904,,
"BAGGETT","McLennan","TX",1896,1898,,
"BAIRD","Douglas","WA",1896,1934,47.6201435,-119.4697588
"BALA","King","TX",1896,1910,,
"BALDHILL","Okmulgee","OK",1896,1908,35.7403789,-95.8372107
"BALLARD","Adair","OK",1896,1916,36.0945269,-94.5893877
"BALTIMORE","Gilpin","CO",1896,1904,39.808321,-105.4894409
"BAR","Eureka","NV",1896,1898,39.8032562,-116.4697973
"BAREHILLS","Fremont","CO",1896,1901,38.64845,-105.3341675
"BARNEY","Union","NM",1896,1930,,
"BARTON","Clackamas","OR",1896,1935,45.38901,-122.4070328
"BASIN","Big Horn","WY",1896,,44.3799574,-108.0389895
"BEARDEN","Okfuskee","OK",1896,1980,35.3488091,-96.3876519
"BEARDIE","Garfield","OK",1896,1898,,
"BEAVER","Elko","NV",1896,1908,41.0804746,-115.531454
"BEBEE","Pontotoc","OK",1896,1928,34.8450838,-96.7916828
"BEEMAN","Nez Perce","ID",1896,1901,46.4054481,-116.5251463
"BEENE","Freestone","TX",1896,1905,,
"BEREA","Barnes","ND",1896,1896,46.9341484,-98.0950962
"BERLIN","Grant","ND",1896,1898,,
"BERLIN","Klickitat","WA",1896,1898,,
"BERLIN","Roger Mills","OK",1896,1967,35.4506051,-99.6253779
"BERNARD","Mesa","CO",1896,1905,,
"BEULAH","San Miguel","NM",1896,1932,,
"BINGEN","Klickitat","WA",1896,,45.7148416,-121.4645173
"BLAKE","San Bernardino","CA",1896,1911,,
"BLANCHE","Gooding","ID",1896,1917,,
"BLOOMBURG","Cass","TX",1896,,33.134327,-94.059762
"BLOSSOM","Tehama","CA",1896,1907,40.177376,-122.4233369
"BLY","Asotin","WA",1896,1920,,
"BOISE","Ada","ID",1896,,43.6135002,-116.2034505
"BONUS","Wharton","TX",1896,1940,29.4516329,-96.2807977
"BOQUILLAS","Brewster","TX",1896,1913,29.1827055,-102.9612736
"BORATE","San Bernardino","CA",1896,1907,,
"BOREAS","Summit","CO",1896,1905,,
"BOSWELL","Walker","TX",1896,1921,30.6065866,-95.3774412
"BOX","Plumas","CA",1896,1901,,
"BOYER","Churchill","NV",1896,1914,39.9582483,-117.8676265
"BRENT","Sequoyah","OK",1896,1929,35.3678727,-94.7935587
"BRIGGSON","Umatilla","OR",1896,1909,45.759577,-118.3344038
"BRITTON","Ellis","TX",1896,1955,32.5484703,-97.0677854
"BROCK","Carter","OK",1896,1954,34.1159289,-97.2394604
"BRUCE","Fremont","WY",1896,1906,,
"BRUCEVILLE","Sacramento","CA",1896,1916,38.3357457,-121.4171739
"BRYAN","Bingham","ID",1896,1906,,
"BUEASTA","Elko","NV",1896,1898,41.9374034,-115.6809161
"BUFFALO","Dawson","NE",1896,1956,40.9891743,-99.8353938
"BULLCREEK","Rogers","OK",1896,1897,,
"BUNCOM","Jackson","OR",1896,1917,42.1740149,-122.9980971
"BURNEY","McIntosh","OK",1896,1907,35.4345467,-95.8224939
"BYRDS","Brown","TX",1896,1955,31.9134802,-99.0420007
"CADWELL","Roberts","SD",1896,1907,45.84607,-97.0603625
"CALDER","Cherokee","TX",1896,1897,,
"CALL","Newton","TX",1896,,30.620675,-93.87764
"CALLISAN","Dundy","NE",1896,1905,,
"CAREYHURST","Converse","WY",1896,1945,42.8491336,-105.6747181
"CARROLL","Crook","WY",1896,1902,,
"CARSON","Cherokee","OK",1896,1896,,
"CASMALIA","Santa Barbara","CA",1896,,34.8380355,-120.5312785
"CASS","Cass","TX",1896,1928,33.1951296,-94.0632404
"CELE","Travis","TX",1896,1902,30.4413149,-97.5225014
"CELESTINE","Pittsburg","OK",1896,1915,,
"CHAFFEE","Rush","KS",1896,1905,,
"CHAGRIS","Carter","OK",1896,1909,,
"CHAPIN","Teton","ID",1896,1912,43.6432528,-111.1107764
"CHARITY","Polk","TX",1896,1911,30.6968673,-94.7293739
"CHASE","Yamhill","OR",1896,1905,45.2262255,-123.3137186
"CHERRYVALE","Blaine","OK",1896,1905,36.0553169,-98.5111911
"CHESTERFIELD","Cherry","NE",1896,1923,,
"CHILCOT","Mountrail","ND",1896,1909,,
"CHILENO","Marin","CA",1896,1900,38.2085297,-122.788602
"CHIWAUKUM","Chelan","WA",1896,1912,47.690398,-120.7359254
"CHLOETA","Chickasaw","OK",1896,1896,,
"CHOCTAW","Oklahoma","OK",1896,,35.499553,-97.2728123
"CLAIRVILLE","Plumas","CA",1896,1910,,
"CLARE","Grant","OK",1896,1904,,
"CLAREVILLE","Bee","TX",1896,1938,28.3225014,-97.8711112
"CLEARCREEK","Choctaw","OK",1896,1902,,
"CLEMAN","Morrill","NE",1896,1914,,
"CLINESBURG","Montgomery","TX",1896,1906,,
"CLINTON","Lassen","CA",1896,1915,,
"CLOVER","Elko","NV",1896,1903,40.7549256,-115.0392103
"CLYDE","Dodge","NE",1896,1903,41.5391712,-96.8483642
"COCHRAN","Cherokee","OK",1896,1897,,
"CODY","Park","WY",1896,,44.5263422,-109.0565308
"COLONY","Washita","OK",1896,,35.3486656,-98.6767351
"COLTMAN","Bonneville","ID",1896,1906,43.6176899,-112.0121929
"COLUMBINE","Routt","CO",1896,1967,40.8541365,-106.9658839
"COMER","Grant","OR",1896,1907,44.5332132,-118.6968936
"CONWAY","Pontotoc","OK",1896,1914,,
"CORVEY","Webb","TX",1896,1897,,
"COUCH","Karnes","TX",1896,1909,28.7705383,-97.7488884
"COULTER","Atoka","OK",1896,1896,,
"COUNCIL","Adams","ID",1896,,44.7262765,-116.4398653
"COVE","Caribou","ID",1896,1909,,
"CRANES","McKinley","NM",1896,1898,35.4469695,-108.3634063
"CRASCO","Colorado","TX",1896,1897,,
"CREEK","Okfuskee","OK",1896,1905,,
"CRESTON","Sweetwater","WY",1896,1909,41.7038481,-107.7567402
"CRITTENDEN","Cherokee","OK",1896,1900,35.9291667,-95.0355556
"CROTON","Campbell","WY",1896,1907,44.524148,-105.9536305
"CULLINGS","Maricopa","AZ",1896,1902,,
"CUMBY","Hopkins","TX",1896,,33.1360465,-95.8398065
"CYPRESS","Cavalier","ND",1896,1897,,
"DAFFODIL","Douglas","CO",1896,1908,39.2547125,-105.2269382
"DAKAN","Douglas","CO",1896,1898,,
"DALE","San Bernardino","CA",1896,1915,,
"DARWIN","Webb","TX",1896,1915,27.712234,-99.7450482
"DEERCREEK","Jefferson","CO",1896,1899,39.5867,-105.10201
"DELNORTE","Garfield","OK",1896,1901,36.2742016,-98.0603405
"DENT","Clearwater","ID",1896,1954,46.6237922,-116.2031995
