Post.Office,State,County,Established,Discontinued,Latitude,Longitude
BEXAR,TX,Bexar,1779,1835,29.4832876,-98.1708427
NACOGDOCHES,TX,Nacogdoche,1779,,,
LAWTON,KS,Cherokee,1800,1985,37.2220015,-94.6360652
HUFSMITH,TX,Harris,1802,1963,30.1236,-95.5964
MILLER COURT HOUSE,OK,McCurtain,1824,1838,,
SAN FELIPE,TX,Austin,1826,,29.797487,-96.1004578
CANTONMENT GIBSON,OK,Muskogee,1827,1842,,
CANTONMENT LEAVENWORTH,KS,Leavenworth,1828,1841,,
NICKSVILLE,OK,Sequoyah,1828,1829,,
GOLIAD,TX,Goliad,1829,,28.6656674,-97.3936922
GALVESTON,TX,Galveston,1830,,29.3033455,-94.7934209
FORT TOWSON,OK,Choctaw,1832,1847,34.0197541,-95.2667393
CHOCTAW AGENCY,OK,LeFlore,1833,1860,,
EAGLETOWN,OK,McCurtain,1834,,34.0444726,-94.5895662
BEAUMONT,TX,Jefferson,1835,,30.0845551,-94.1021967
BRAZORIA,TX,Brazoria,1835,,29.0524413,-95.5700079
EGYPT,TX,Wharton,1835,,29.405913,-96.2382893
GONZALES,TX,Gonzales,1835,,29.506335,-97.454384
LIBERTY,TX,Liberty,1835,,30.0591378,-94.8014076
MATAGORDA,TX,Matagorda,1835,,28.6905869,-95.9685216
REFUGIO,TX,Refugio,1835,,28.2995576,-97.2730868
SAN AUGUSTINE,TX,San Augustine,1835,,31.5294207,-94.111699
VICTORIA,TX,Victoria,1835,,28.7967995,-97.0067141
WASHINGTON,TX,Washington,1835,,30.3253635,-96.1579814
FORT COFFEE,OK,LeFlore,1835,1838,35.2892616,-94.584387
MUSTANG PRAIRIE,TX,Houston,1835,1846,31.2604586,-95.5524489
NASHVILLE,TX,Milam,1835,1868,30.825778,-96.652877
OROZIMBO,TX,Brazoria,1835,1847,29.2535768,-95.5771664
SAN ANTONIO,TX,Bexar,1835,,29.4241219,-98.4936282
SAN PATRICIO,TX,San Patricio,1835,1929,27.9544619,-97.7719419
VELASCO,TX,Brazoria,1835,1957,28.9619144,-95.360495
COLUMBIA,TX,Brazoria,1835,1927,29.1427466,-95.6152241
ZAVALLA,TX,Jasper,1835,1856,31.0090858,-94.1382479
TEXANA,TX,Jackson,1835,1885,28.9649842,-96.6558103
FANTHORP'S,TX,Grimes,1835,1849,,
KIDRON,OK,Sequoyah,1835,1869,,
JASPER,TX,Jasper,1836,,30.921715,-94.0028467
BASTROP,TX,Bastrop,1837,,30.1118227,-97.3202516
HOUSTON,TX,Harris,1837,,29.7440686,-95.3681364
